,geometry,EV_stations_counts,EV_stations_aperage,EV_stations_voltage,EV_stations_capacity,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,Community_centre_count,school_count,university_count,park_count,townhall_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
2160,"POLYGON ((13.44797388710632 52.59920325991754, 13.448131612377418 52.59474077403561, 13.44078718264225 52.59464429585839, 13.44062871165029 52.59910676626384, 13.44797388710632 52.59920325991754))",0,[],[],[],[],10.022101410748055,Other,4,6,0.5,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2161,"POLYGON ((13.448131612377418 52.59474077403561, 13.44828929621103 52.590278284438796, 13.440945612001038 52.59018182173494, 13.44078718264225 52.59464429585839, 13.448131612377418 52.59474077403561))",0,[],[],[],[],10.022101410748053,Other,0,0,0.0,4,"{'surface': 3, 'street_side': 1}",1,0,0,0,0,1,0,0,0,0,1,1
2162,"POLYGON ((13.44828929621103 52.590278284438796, 13.448446938621679 52.585815791127075, 13.441103999741237 52.58571934389344, 13.440945612001038 52.59018182173494, 13.44828929621103 52.590278284438796))",0,[],[],[],[],10.022101410748053,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2163,"POLYGON ((13.448446938621679 52.585815791127075, 13.44860453962388 52.58135329410044, 13.441262345877433 52.58125686233388, 13.441103999741237 52.58571934389344, 13.448446938621679 52.585815791127075))",0,[],[],[],[],10.022101410748055,Other,3,4,0.6666666666666666,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2164,"POLYGON ((13.44860453962388 52.58135329410044, 13.448762099232141 52.57689079335882, 13.441420650424206 52.57679437705623, 13.441262345877433 52.58125686233388, 13.44860453962388 52.58135329410044))",0,[],[],[],[],10.022101410748057,residential,12,26,0.19696969696969696,0,{},0,0,0,0,0,1,0,0,0,0,0,0
2165,"POLYGON ((13.448762099232141 52.57689079335882, 13.448919617460966 52.572428288902245, 13.441578913396123 52.572331888060475, 13.441420650424206 52.57679437705623, 13.448762099232141 52.57689079335882))",0,[],[],[],[],10.022101410748055,retail,3,4,0.6666666666666666,3,{'surface': 3},0,0,0,0,0,1,0,0,0,0,1,0
2166,"POLYGON ((13.448919617460966 52.572428288902245, 13.449077094324847 52.56796578073064, 13.441737134807749 52.56786939534659, 13.441578913396123 52.572331888060475, 13.448919617460966 52.572428288902245))",0,[],[],[],[],10.022101410748055,Other,15,30,0.14285714285714285,2,"{'surface': 1, 'street_side': 1}",0,0,0,0,0,0,0,0,0,1,1,1
2167,"POLYGON ((13.449077094324847 52.56796578073064, 13.449234529838272 52.563503268843995, 13.441895314673639 52.563406898914536, 13.441737134807749 52.56786939534659, 13.449077094324847 52.56796578073064))",0,[],[],[],[],10.022101410748053,Other,6,10,0.3333333333333333,10,"{'surface': 6, 'street_side': 4}",0,0,0,0,0,1,0,0,0,3,8,0
2168,"POLYGON ((13.449234529838272 52.563503268843995, 13.449391924015723 52.5590407532423, 13.442053453008338 52.55894439876429, 13.441895314673639 52.563406898914536, 13.449234529838272 52.563503268843995))",0,[],[],[],[],10.022101410748053,residential,28,60,0.07936507936507936,1,{'surface': 1},0,0,0,0,0,0,0,0,0,0,1,0
2169,"POLYGON ((13.449391924015723 52.5590407532423, 13.449549276871672 52.55457823392552, 13.442211549826393 52.55448189489586, 13.442053453008338 52.55894439876429, 13.449391924015723 52.5590407532423))",0,[],[],[],[],10.022101410748055,Other,2,2,1.0,2,{'surface': 2},0,0,0,0,0,0,0,0,0,0,1,1
2170,"POLYGON ((13.449549276871672 52.55457823392552, 13.449706588420586 52.550115710893614, 13.44236960514234 52.55001938730916, 13.442211549826393 52.55448189489586, 13.449549276871672 52.55457823392552))",3,"[[nan], [nan], [nan]]","[[nan], [nan], [nan]]","[['2'], ['2'], ['2']]","[[<POINT (13.446 52.55)>], [<POLYGON ((13.446 52.55, 13.447 52.55, 13.446 52.55, 13.446 52.55, 13.446 52...>], [<POLYGON ((13.448 52.554, 13.448 52.554, 13.448 52.554, 13.448 52.554, 13.44...>]]",10.022101410748053,Other,13,22,0.14102564102564102,6,"{'surface': 3, 'underground': 2, 'street_side': 1}",3,0,1,2,0,0,0,0,0,11,5,2
